"Department","JobRole","total_employees","employees_left","attrition_rate"
"Human Resources","Human Resources","52","12","23.08"
"Human Resources","Manager","11","0","0.0"
"Research & Development","Laboratory Technician","259","62","23.94"
"Research & Development","Research Scientist","292","47","16.1"
"Research & Development","Manufacturing Director","145","10","6.9"
"Research & Development","Healthcare Representative","131","9","6.87"
"Research & Development","Manager","54","3","5.56"
"Research & Development","Research Director","80","2","2.5"
"Sales","Sales Representative","83","33","39.76"
"Sales","Sales Executive","326","57","17.48"
"Sales","Manager","37","2","5.41"
