"tenure_group","JobSatisfaction","total_employees","attrition_count","attrition_rate"
"Less than 2 years","1","43","20","46.51"
"Less than 2 years","2","44","16","36.36"
"Less than 2 years","3","64","23","35.94"
"2-4 years","1","77","20","25.97"
"Less than 2 years","4","64","16","25.0"
"10-14 years","1","36","8","22.22"
"2-4 years","3","114","23","20.18"
"2-4 years","2","66","10","15.15"
"5-9 years","1","100","15","15.0"
"5-9 years","2","101","14","13.86"
"15+ years","4","41","5","12.2"
"2-4 years","4","108","13","12.04"
"5-9 years","3","153","18","11.76"
"10-14 years","3","57","6","10.53"
"15+ years","2","30","3","10.0"
"10-14 years","4","76","7","9.21"
"15+ years","1","33","3","9.09"
"10-14 years","2","39","3","7.69"
"5-9 years","4","170","11","6.47"
"15+ years","3","54","3","5.56"
