"OverTime","JobRole","total_employees","attrition_count","attrition_rate"
"Yes","Sales Representative","24","16","66.67"
"Yes","Laboratory Technician","62","31","50.0"
"Yes","Human Resources","13","5","38.46"
"Yes","Research Scientist","97","33","34.02"
"Yes","Sales Executive","94","31","32.98"
"No","Sales Representative","59","17","28.81"
"No","Human Resources","39","7","17.95"
"No","Laboratory Technician","197","31","15.74"
"Yes","Manager","27","4","14.81"
"No","Sales Executive","232","26","11.21"
"Yes","Manufacturing Director","39","4","10.26"
"No","Healthcare Representative","94","7","7.45"
"No","Research Scientist","195","14","7.18"
"No","Manufacturing Director","106","6","5.66"
"Yes","Healthcare Representative","37","2","5.41"
"Yes","Research Director","23","1","4.35"
"No","Research Director","57","1","1.75"
"No","Manager","75","1","1.33"
